Rooms,Bathrooms,Floor Level,Year Built,View,Payment Method,Location,Amenities,Price_Numeric,Calculated_Price_Per_Meter,finishing_type,Type,price after 10 years
2.0,3 bathroom,3.0,2025.0,Outer,Installments,Second Neighborhood,C(BASICS),2163000.0,18025.0,semi,Own,
3.0,2 bathroom,6.0,2024.0,Outer,Cash or Installments,Jasmine Gardens Compound,B(Compound),3250000.0,20061.73,semi,Own,
3.0,1 bathroom,4.0,2024.0,Outer,Cash or Installments,Sudan St,B(Compound),2650000.0,21721.31,semi,Own,
4.0,3 bathroom,13.0,2027.0,Inner,Cash or Installments,Muruj,B(Compound),12720000.0,60000.0,superlux,Investment,30794000.0
3.0,3 bathroom,2.0,2027.0,Outer,Installments,Bluetree New Cairo,B(Compound),6329000.0,43648.28,semi,Investment,14299000.0
2.0,2 bathroom,3.0,2025.0,Inner,Cash or Installments,العلمين استلام فورى,B(Compound),4209000.0,31646.62,superlux,Own,
3.0,2 bathroom,4.0,2019.0,Outer,Cash or Installments,El Bustan Neighborhood,C(BASICS),631250.0,5050.0,semi,Own,
3.0,3 bathroom,3.0,2024.0,Outer,Cash or Installments,شارع الامراء,C(BASICS),1255900.0,6788.65,without,Own,
3.0,3 bathroom,4.0,2025.0,Outer,Cash or Installments,شارع الامراء,C(BASICS),1255000.0,8149.35,without,Own,
3.0,3 bathroom,2.0,2026.0,Outer,Cash or Installments,مناطق فرعية بشمال,C(BASICS),4680000.0,29250.0,without,Own,
1.0,1 bathroom,2.0,2026.0,Inner,Cash or Installments,Long Beach –,C(BASICS),6521311.0,51348.91,superlux,Own,
2.0,1 bathroom,3.0,2028.0,Outer,Cash or Installments,The View Residence,B(Compound),19026000.0,126000.0,superlux,Investment,44332000.0
1.0,1 bathroom,2.0,2028.0,Inner,Cash or Installments,The View Residence,B(Compound),10350000.0,90000.0,superlux,Investment,25007000.0
4.0,3 bathroom,7.0,2018.0,Outer,Cash,مدينة نصر في,B(Compound),9500000.0,36538.46,superlux,Own,
3.0,2 bathroom,2.0,2027.0,Outer,Installments,كمبوند فيرال زهراء,B(Compound),4489000.0,33500.0,semi,Investment,10087000.0
3.0,2 bathroom,3.0,2028.0,Outer,Cash or Installments,The View Residence,B(Compound),34650000.0,109305.99,superlux,Investment,80483000.0
