name,pm10,pm2_5,us_aqi,us_pm2_5,us_pm10,us_no2,name_en
مصر الجديدة,36.44326,19.955238,79.361496,70.66722,31.624939,9.333277,Heliopolis
عابدين,36.44326,19.955238,79.361496,70.66722,31.624939,9.333277,Abdin
بولاق,36.44326,19.955238,79.361496,70.66722,31.624939,9.333277,Boulak
منشية ناصر,36.44326,19.955238,79.361496,70.66722,31.624939,9.333277,Manshiet Naser
روض الفرج,36.44326,19.955238,79.361496,70.66722,31.624939,9.333277,Rod El-Farag
السبتية,36.44326,19.955238,79.361496,70.66722,31.624939,9.333277,Al-Sabtiyya
مصر القديمة,36.44326,19.955238,79.361496,70.66722,31.624939,9.333277,Masr Al-Qadima
السيدة زينب,36.44326,19.955238,79.361496,70.66722,31.624939,9.333277,Al-Sayyida Zeinab
الغورية,36.44326,19.955238,79.361496,70.66722,31.624939,9.333277,El-Ghuriyya
الظاهر,36.44326,19.955238,79.361496,70.66722,31.624939,9.333277,Al-Zaher
القاهرة الإسلامية,36.44326,19.955238,79.361496,70.66722,31.624939,9.333277,Islamic Cairo
الوايلى,36.44326,19.955238,79.361496,70.66722,31.624939,9.333277,El-Waily
حدائق حلوان,36.44326,19.955238,79.361496,70.66722,31.624939,9.333277,Hadayek helwan
وادي حوف,36.44326,19.955238,79.361496,70.66722,31.624939,9.333277,Wadi Hof
المعصرة,36.44326,19.955238,79.361496,70.66722,31.624939,9.333277,Al-Maasara
عين الصيرة,36.44326,19.955238,79.361496,70.66722,31.624939,9.333277,Ain El Sira
عباسية,36.44326,19.955238,79.361496,70.66722,31.624939,9.333277,Abbasseya
السكاكينى,36.44326,19.955238,79.361496,70.66722,31.624939,9.333277,El Sakakini
الدمرداش,36.44326,19.955238,79.361496,70.66722,31.624939,9.333277,El-Demerdash
الشرابية,36.44326,19.955238,79.361496,70.66722,31.624939,9.333277,El-Sharrabeya
حدائق الزيتون,36.44326,19.955238,79.361496,70.66722,31.624939,9.333277,Hadayeq Al-Zaitoun
الزيتون,36.44326,19.955238,79.361496,70.66722,31.624939,9.333277,Al-Zaitoun
عين شمس,36.44326,19.955238,79.361496,70.66722,31.624939,9.333277,Ain Shams
الموسكى,36.44326,19.955238,79.361496,70.66722,31.624939,9.333277,Al-Mosky
الأزبكية,36.44326,19.955238,79.361496,70.66722,31.624939,9.333277,Al-Azbakeya
الجمالية,36.44326,19.955238,79.361496,70.66722,31.624939,9.333277,El-Gamaliyya
باب الشعرية,36.44326,19.955238,79.361496,70.66722,31.624939,9.333277,Bab Al-Shaaria
الدرب الأحمر,36.44326,19.955238,79.361496,70.66722,31.624939,9.333277,El-Darb El-Ahmar
الخليفة,36.44326,19.955238,79.361496,70.66722,31.624939,9.333277,El-Khaleefa
مدينة ميراج,27.691023,16.973969,80.20046,65.02466,24.886189,6.0874953,Mirage City
مدينة نصر,36.44326,19.955238,79.361496,70.66722,31.624939,9.333277,Nasr City
القاهرة القديمة,36.44326,19.955238,79.361496,70.66722,31.624939,9.333277,Old Cairo
المنيل,36.44326,19.955238,79.361496,70.66722,31.624939,9.333277,Al Manyal
باب اللوق,36.44326,19.955238,79.361496,70.66722,31.624939,9.333277,Bab al Luq
الأميرية,36.44326,19.955238,79.361496,70.66722,31.624939,9.333277,Amiriya
Stone Park,36.44326,19.955238,79.361496,70.66722,31.624939,9.333277,Stone Park
كمبوند القطاميه هايتس,27.691023,16.973969,80.20046,65.02466,24.886189,6.0874953,كمبوند القطاميه هايتس
القطاميه,27.691023,16.973969,80.20046,65.02466,24.886189,6.0874953,القطاميه
كومباوند قطامية ديونز,27.691023,16.973969,80.20046,65.02466,24.886189,6.0874953,Kattameya Dunes Compound
