name_en_x,pm10,pm2_5,us_aqi,us_pm2_5,us_pm10,us_no2,name,latitude,longitude,green_coverage_pct
10 Buildings Project,36.44326,19.955238,79.361496,70.66722,31.624939,9.333277,مشروع 10 عمارات,30.05407841880064,31.29000628930385,1.35
1000 Factory Area,27.691023,16.973969,80.20046,65.02466,24.886189,6.0874953,منطقة الألف مصنع,29.97088246407333,31.48559811633404,0.22
14 Building Project,36.44326,19.955238,79.361496,70.66722,31.624939,9.333277,مشروع 14 عمارة,30.04233554682452,31.37862349559053,0.6
17 Building Project,36.44326,19.955238,79.361496,70.66722,31.624939,9.333277,مشروع 17 عمارة,30.057902619314447,31.366877598614806,0.52
18 Building Project,36.44326,19.955238,79.361496,70.66722,31.624939,9.333277,مشروع 18 عمارة,30.04308192862836,31.36408842215597,0.33
19 Building Project,36.44326,19.955238,79.361496,70.66722,31.624939,9.333277,مشروع 19 عمارة,30.03762625284312,31.35864011672881,0.25
29 Building Project,36.44326,19.955238,79.361496,70.66722,31.624939,9.333277,مشروع 29 عمارة,30.06015827124937,31.37568885522812,0.42
29 Buildings,36.44326,19.955238,79.361496,70.66722,31.624939,9.333277,29 عمارة,30.06361289437848,31.35931512126632,1.8
33 Buildings,36.44326,19.955238,79.361496,70.66722,31.624939,9.333277,33 عمارة,30.062160108787943,31.35926859089868,1.53
9 Buildings Project,36.44326,19.955238,79.361496,70.66722,31.624939,9.333277,مشروع 9 عمارات,30.076122034127604,31.30246978815426,2.06
A Housing,36.44326,19.955238,79.361496,70.66722,31.624939,9.333277,مساكن أ,30.098620910969604,31.2571617290655,0.48
AZZAR 2 Compound,27.691023,16.973969,80.20046,65.02466,24.886189,6.0874953,AZZAR 2 Compound,30.04177552344281,31.545614629330142,2.44
Abbasseya,36.44326,19.955238,79.361496,70.66722,31.624939,9.333277,عباسية,30.0712082,31.2763653,1.08
Abdin,36.44326,19.955238,79.361496,70.66722,31.624939,9.333277,عابدين,30.044988,31.2488627,0.55
Abo Al So'oud and Al Madabegh,36.44326,19.955238,79.361496,70.66722,31.624939,9.333277,ابو السعود والمدابغ,30.0151622973562,31.23576717451396,3.01
Abo El A'ela,36.44326,19.955238,79.361496,70.66722,31.624939,9.333277,ابو العلا,30.05539298612676,31.230285508105872,6.89
Abo Khoda,36.44326,19.955238,79.361496,70.66722,31.624939,9.333277,ابو خوده,30.06423779936395,31.2705644152178,0.5
Abou Al Resh Housing,36.44326,19.955238,79.361496,70.66722,31.624939,9.333277,مساكن ابو الريش,30.02765511797885,31.2346976983335,3.02
Abou Ghazala Housing,36.44326,19.955238,79.361496,70.66722,31.624939,9.333277,مساكن ابو غزاله,30.11002577248185,31.32732223607082,2.44
Acacia Compound,27.691023,16.973969,80.20046,65.02466,24.886189,6.0874953,كمبوند أكاسيا,30.051089939212485,31.492144004168072,3.98
Administrative Prosecution Compound,27.691023,16.973969,80.20046,65.02466,24.886189,6.0874953,كمبوند النيابة الإدارية,29.963851148016737,31.53455198382944,0.49
Ahmed Helmy Building,36.44326,19.955238,79.361496,70.66722,31.624939,9.333277,عمارات احمد حلمى,30.06817314448612,31.252163584047075,0.12
Ain El Sira,36.44326,19.955238,79.361496,70.66722,31.624939,9.333277,عين الصيرة,30.0139077,31.245078700000004,3.2
Ain Shams,36.44326,19.955238,79.361496,70.66722,31.624939,9.333277,عين شمس,30.1304761,31.3167491,0.01
Ain Shams University Teaching Staff Members Housing,36.44326,19.955238,79.361496,70.66722,31.624939,9.333277,مساكن اعضاء هيئه التدريس بجامعه عين شمس,30.075694508537744,31.2769649156599,0.89
Akoya Compound,27.691023,16.973969,80.20046,65.02466,24.886189,6.0874953,كمبوند أكويا,29.98949188869503,31.506993449652832,0.78
Al 70 Fedan,36.44326,19.955238,79.361496,70.66722,31.624939,9.333277,السبعين فدان,29.99274161640347,31.334757574610265,0.78
Al Aadawyya,36.44326,19.955238,79.361496,70.66722,31.624939,9.333277,العدويه,30.057629926112444,31.23574965118538,0.3
Al Abageyya,36.44326,19.955238,79.361496,70.66722,31.624939,9.333277,الاباجيه,30.02088149724677,31.26856064963288,0.45
Al Abageyya Housing,36.44326,19.955238,79.361496,70.66722,31.624939,9.333277,مساكن الإباجيه,30.022908678262187,31.264668884769684,0.39
Al Abbasseya Al Qibliyya A,36.44326,19.955238,79.361496,70.66722,31.624939,9.333277,العباسيه القبليه ا,30.06865494710216,31.276925370458915,1.03
Al Abbasseya Al Qibliyya B,36.44326,19.955238,79.361496,70.66722,31.624939,9.333277,العباسيه القبليه ب,30.06695879116529,31.27618100465597,0.68
Al Abbasseya El Baharia,36.44326,19.955238,79.361496,70.66722,31.624939,9.333277,العباسيه البحريه,30.073622375232063,31.28285294208812,1.53
Al Abtal City For Armed Forces Housing,36.44326,19.955238,79.361496,70.66722,31.624939,9.333277,مدينة الابطال لضباط القوات المسلحه,29.82800165407496,31.3484896907398,2.14
Al Adawy,36.44326,19.955238,79.361496,70.66722,31.624939,9.333277,العدوى,30.059824667618305,31.25909647899253,0.06
Al Ahly Club,36.44326,19.955238,79.361496,70.66722,31.624939,9.333277,النادي الاهلى,30.07361468861136,31.36561092277485,1.99
Al Ahmadin,36.44326,19.955238,79.361496,70.66722,31.624939,9.333277,الاحمدين,30.058353121960128,31.2306848969024,4.19
Al Amal Buildings,36.44326,19.955238,79.361496,70.66722,31.624939,9.333277,عمارات الامل,30.080185190322688,31.37680364752099,1.22
Al Amireya Al Bald,36.44326,19.955238,79.361496,70.66722,31.624939,9.333277,الاميريه البلد,30.107994216208063,31.270694620032785,0.64
Al Andalos District,27.691023,16.973969,80.20046,65.02466,24.886189,6.0874953,حى الاندلس,30.16907977872387,31.62805139970672,3.3
Al Andalus 1,27.691023,16.973969,80.20046,65.02466,24.886189,6.0874953,الأندلس 1,29.990481959371305,31.517417444543423,5.8
Al Andalus Family 5 - Area 6,27.691023,16.973969,80.20046,65.02466,24.886189,6.0874953,الأندلس عائلي 5 منطقة 6,29.983651241717222,31.522494616227533,0.16
Al Andalus Family Housing,27.691023,16.973969,80.20046,65.02466,24.886189,6.0874953,الأندلس عائلي,29.98367611756765,31.518597678242376,0.27
Al Anwar and Eshash Al Baroud,36.44326,19.955238,79.361496,70.66722,31.624939,9.333277,الانور وعشش البارود,30.016513771270407,31.23270951841685,2.04
Al Aseel Compound,27.691023,16.973969,80.20046,65.02466,24.886189,6.0874953,كمبوند الأصيل,30.01513125000252,31.476738907483675,3.26
Al Ashrafiya Compound,27.691023,16.973969,80.20046,65.02466,24.886189,6.0874953,كمبوند الأشرفية,30.03776790648626,31.48261711411909,3.58
Al Atar,36.44326,19.955238,79.361496,70.66722,31.624939,9.333277,العطار,30.070381586469072,31.249153579141414,0.07
Al Atrees,36.44326,19.955238,79.361496,70.66722,31.624939,9.333277,العتريس,30.02998830234,31.242122752460567,0.32
Al Awkaf Housing Division Al Khlawati,36.44326,19.955238,79.361496,70.66722,31.624939,9.333277,مساكن الاوقاف تقسيم الخلاوتي,29.973784543499608,31.26481486114896,1.64
Al Awqaf Compound,27.691023,16.973969,80.20046,65.02466,24.886189,6.0874953,كمبوند الأوقاف,29.95871704573631,31.535514516821767,0.29
Al Badrashin City,36.44326,19.955238,79.361496,70.66722,31.624939,9.333277,مدينة البدرشين,29.853910405661708,31.27712120365736,2.65
Al Banafseg 1,27.691023,16.973969,80.20046,65.02466,24.886189,6.0874953,البنفسج 1,30.066954192479933,31.47192021297725,2.78
Al Banafseg 10,27.691023,16.973969,80.20046,65.02466,24.886189,6.0874953,البنفسج 10,30.045412079026026,31.464524061951423,4.51
Al Banafseg 11,27.691023,16.973969,80.20046,65.02466,24.886189,6.0874953,البنفسج 11,30.039520970777303,31.47174835662398,4.14
Al Banafseg 12,27.691023,16.973969,80.20046,65.02466,24.886189,6.0874953,البنفسج 12,30.03939045354856,31.46411189042216,3.95
Al Banafseg 2,27.691023,16.973969,80.20046,65.02466,24.886189,6.0874953,البنفسج 2,30.06671277124684,31.464691803022504,2.86
Al Banafseg 3,27.691023,16.973969,80.20046,65.02466,24.886189,6.0874953,البنفسج 3,30.06169500387024,31.471843209038603,4.65
Al Banafseg 4,27.691023,16.973969,80.20046,65.02466,24.886189,6.0874953,البنفسج 4,30.06167641421717,31.464697770350583,3.42
Al Banafseg 5,27.691023,16.973969,80.20046,65.02466,24.886189,6.0874953,البنفسج 5,30.056875941262465,31.47178084171445,5.69
Al Banafseg 6,27.691023,16.973969,80.20046,65.02466,24.886189,6.0874953,البنفسج 6,30.0564422785336,31.464538766201105,3.7
Al Banafseg 7,27.691023,16.973969,80.20046,65.02466,24.886189,6.0874953,البنفسج 7,30.05118342519513,31.471871447420742,5.25
Al Banafseg 8,27.691023,16.973969,80.20046,65.02466,24.886189,6.0874953,البنفسج 8,30.050779653372555,31.46458590013975,4.16
Al Banafseg 9,27.691023,16.973969,80.20046,65.02466,24.886189,6.0874953,البنفسج 9,30.04538634748466,31.47176792368884,5.57
Al Banafseg Buildings,27.691023,16.973969,80.20046,65.02466,24.886189,6.0874953,البنفسج عمارات,30.033823073294933,31.46288841098647,2.79
Al Banfseg District,27.691023,16.973969,80.20046,65.02466,24.886189,6.0874953,حي البنفسج,30.171387802193586,31.63752537794441,4.21
Al Basatin Housing,36.44326,19.955238,79.361496,70.66722,31.624939,9.333277,مساكن البساتين,30.00696237802308,31.330097347913643,2.4
Al Basatine,36.44326,19.955238,79.361496,70.66722,31.624939,9.333277,البساتين,29.98775041171548,31.26471003638336,0.02
Al Bekbashi,36.44326,19.955238,79.361496,70.66722,31.624939,9.333277,البكباشى,29.96797975442376,31.22427286440576,14.54
Al Brlent District,27.691023,16.973969,80.20046,65.02466,24.886189,6.0874953,حى البرلنت,30.168986451213986,31.59732003137331,2.48
Al Burouj,24.703178,15.82079,74.21322,62.85449,22.400135,5.074077,البروج,30.20044598589752,31.67962880171121,2.94
Al Choueifat,27.691023,16.973969,80.20046,65.02466,24.886189,6.0874953,الشويفات,30.00865362801287,31.409405679480173,2.96
Al Darb Al Ahmar,36.44326,19.955238,79.361496,70.66722,31.624939,9.333277,الدرب الاحمر,30.040541609944345,31.26049924129058,6.64
Al Darb Al Gadid,36.44326,19.955238,79.361496,70.66722,31.624939,9.333277,الدرب الجديد,30.03332431746609,31.24342294071674,0.34
Al Darrasa,36.44326,19.955238,79.361496,70.66722,31.624939,9.333277,الدراسه,30.046622237020745,31.268065590003715,5.4
Al Dayoura,36.44326,19.955238,79.361496,70.66722,31.624939,9.333277,الديوره,30.003831373962864,31.24383274800706,4.23
Al Delta Association compound,27.691023,16.973969,80.20046,65.02466,24.886189,6.0874953,كمبوند جمعية الدلتا,29.960595637238843,31.53393244056592,0.23
Al Diplomaseen,27.691023,16.973969,80.20046,65.02466,24.886189,6.0874953,الدبلوماسيين,29.993533555282315,31.44082024745597,2.95
Al Diplomasieen Compound,27.691023,16.973969,80.20046,65.02466,24.886189,6.0874953,كمبوند الدبلوماسيين,30.00206887607695,31.494859487288537,2.03
Al Dwagen,36.44326,19.955238,79.361496,70.66722,31.624939,9.333277,الدواجن,29.87904708975872,31.291762712749712,2.88
Al Dweika,36.44326,19.955238,79.361496,70.66722,31.624939,9.333277,الدويقة,30.03606426378749,31.29758613114309,0.67
Al Dyar Compound,27.691023,16.973969,80.20046,65.02466,24.886189,6.0874953,الديار كمبوند,30.01517070071598,31.469260919318664,5.03
Al Emameen,36.44326,19.955238,79.361496,70.66722,31.624939,9.333277,الامامين,30.00739629901816,31.25742789088799,0.72
Al Ensha and Al Mounira,36.44326,19.955238,79.361496,70.66722,31.624939,9.333277,الانشا والمنيره,30.034995471924624,31.23571136473937,2.95
Al Fardous Complex Housing,36.44326,19.955238,79.361496,70.66722,31.624939,9.333277,مساكن مجمع الفردوس,30.056422482411307,31.30100583350724,2.77
Al Farouqia Buildings,36.44326,19.955238,79.361496,70.66722,31.624939,9.333277,عمارات الفاروقية,30.13893988168467,31.39194028852966,0.05
Al Fayrouz East District,27.691023,16.973969,80.20046,65.02466,24.886189,6.0874953,حى الفيروز شرق,30.14197049367956,31.634664168911808,4.39
Al Fayrouz West District,27.691023,16.973969,80.20046,65.02466,24.886189,6.0874953,حى الفيروز غرب,30.14375565503716,31.61987487286295,3.21
Al Ferdous,36.44326,19.955238,79.361496,70.66722,31.624939,9.333277,الفردوس,30.06659045050439,31.362649427596697,1.99
Al Fostat Water Station Housing,36.44326,19.955238,79.361496,70.66722,31.624939,9.333277,مساكن محطة مياه الفسطاط,29.98024212824447,31.24426350496236,0.25
Al Gamalia,36.44326,19.955238,79.361496,70.66722,31.624939,9.333277,الجماليه,30.052534966083112,31.2647987130736,0.41
Al Ganzoury,36.44326,19.955238,79.361496,70.66722,31.624939,9.333277,الجنزورى,30.0574779067908,31.273826530235617,0.65
Al Gawhara District,27.691023,16.973969,80.20046,65.02466,24.886189,6.0874953,حى الجوهرة,30.117437188418226,31.619624668730268,1.82
Al Ghoureyya,36.44326,19.955238,79.361496,70.66722,31.624939,9.333277,الغوريه,30.04481461485994,31.26070557589789,6.51
Al Guezira Green Park Compound,27.691023,16.973969,80.20046,65.02466,24.886189,6.0874953,كمبوند الجزيرة جرين بارك,30.017554154663888,31.483320030228377,2.34
Al Hada'ek,36.44326,19.955238,79.361496,70.66722,31.624939,9.333277,الحدائق,30.077440478825697,31.27229488410319,0.8
Al Hadaba Al Wosta El Mukkatam,36.44326,19.955238,79.361496,70.66722,31.624939,9.333277,الهضبة الوسطى المقطم,29.9958642094658,31.30496408634768,0.5
Al Hadid W Al Solb Old Housing,100.73496,22.805325,88.276215,76.092606,72.74783,5.4515224,مساكن الحديد و الصلب القديمة,29.78367879409261,31.31027319702033,1.13
Al Hadid W Solb Housing,100.73496,22.805325,88.276215,76.092606,72.74783,5.4515224,مساكن الحديد و الصلب,29.78747731676058,31.30289306930957,2.26
Al Hana Buildings,36.44326,19.955238,79.361496,70.66722,31.624939,9.333277,عمارات الهنا,30.11189269123867,31.3252133855772,2.36
Al Harfayn A Area,27.691023,16.973969,80.20046,65.02466,24.886189,6.0874953,منطقة الحرفين أ,30.14046874275229,31.76031681393955,1.86
Al Harfayn B Area,27.691023,16.973969,80.20046,65.02466,24.886189,6.0874953,منطقة الحرفين ب,30.13309507782031,31.766177148324225,1.17
Al Harfayn C Area,27.691023,16.973969,80.20046,65.02466,24.886189,6.0874953,منطقة الحرفين ج,30.12435383900428,31.76754629946875,0.92
Al Hayah Residence Compound,27.691023,16.973969,80.20046,65.02466,24.886189,6.0874953,كمبوند الحياة ريزيدنس,30.14095646117885,31.625695283873505,4.8
Al Herafieen City,36.44326,19.955238,79.361496,70.66722,31.624939,9.333277,مدينة الحرفيين,29.837235557695465,31.33344553097708,0.9
Al Herafieen Housing,36.44326,19.955238,79.361496,70.66722,31.624939,9.333277,مساكن الحرفيين,30.03759834535663,31.29064227896464,0.21
Al Huckstep Military City,27.691023,16.973969,80.20046,65.02466,24.886189,6.0874953,مدينة الهايكستب العسكرية,30.128510871354305,31.51918604370893,0.13
Al Iskan El Fakher Buildings,27.691023,16.973969,80.20046,65.02466,24.886189,6.0874953,مباني الإسكان الفاخر,30.145327654354443,31.611558262109035,3.52
Al Ismalia,36.44326,19.955238,79.361496,70.66722,31.624939,9.333277,الإسماعيلية,30.046653905195143,31.23421137449931,3.48
Al Istad,36.44326,19.955238,79.361496,70.66722,31.624939,9.333277,الاستاد,30.068470968299795,31.30657003261081,3.34
Al Izab,36.44326,19.955238,79.361496,70.66722,31.624939,9.333277,العزب,30.12024537748439,31.294069512367745,0.21
Al Jawahra Compound,27.691023,16.973969,80.20046,65.02466,24.886189,6.0874953,كمبوند الجوهرة,30.03396151443324,31.478244368636965,3.2
Al Jazi Garden Compound,27.691023,16.973969,80.20046,65.02466,24.886189,6.0874953,كمبوند الجازى جاردن,30.033514237464622,31.48311867994992,2.54
Al Jazi Park Ave Compound,27.691023,16.973969,80.20046,65.02466,24.886189,6.0874953,كمبوند الجازي بارك آفي,30.03550082366462,31.478060964393684,3.82
Al Kabsh,36.44326,19.955238,79.361496,70.66722,31.624939,9.333277,الكبش,30.02876199585858,31.24555809115048,0.1
Al Karnak Association for Construction and Housing Compound,27.691023,16.973969,80.20046,65.02466,24.886189,6.0874953,كمبوند جمعية الكرنك للبناء والإسكان,29.964758474299423,31.52692325790752,0.59
Al Kendy District,36.44326,19.955238,79.361496,70.66722,31.624939,9.333277,الحى الكندي,29.989844381534034,31.290925052328337,0.3
Al Khabiri Al Wosta,36.44326,19.955238,79.361496,70.66722,31.624939,9.333277,الخبيرى الوسطى,29.96422774169664,31.24664793194417,6.45
Al Khalifa,36.44326,19.955238,79.361496,70.66722,31.624939,9.333277,الخليفه,30.026675142485026,31.251912654149304,0.09
Al Khobra' Al Rous City,100.73496,22.805325,88.276215,76.092606,72.74783,5.4515224,مدينة الخبراء الروس,29.787168989601746,31.310498750059303,1.53
Al Khokha and Al Qanaya,36.44326,19.955238,79.361496,70.66722,31.624939,9.333277,الخوخه والقنايه,30.003944355254937,31.227844894664788,5.15
Al Kofour and Saei Al Bahr,36.44326,19.955238,79.361496,70.66722,31.624939,9.333277,الكفور وساعي البحر,30.01032355193752,31.22888748371726,3.53
Al Koronfil District,27.691023,16.973969,80.20046,65.02466,24.886189,6.0874953,حى القرنفل,30.052239286446383,31.521537012089816,1.38
Al Kuwait Housing,36.44326,19.955238,79.361496,70.66722,31.624939,9.333277,مساكن الكويت,30.005823036612213,31.33013956605477,2.44
Al Lazourd District,27.691023,16.973969,80.20046,65.02466,24.886189,6.0874953,حى اللازورد,30.13010402518797,31.62472517037212,2.74
Al Loaloah District,27.691023,16.973969,80.20046,65.02466,24.886189,6.0874953,حى اللؤلؤة,30.130724168691604,31.60643359572061,7.28
Al Lotus Sector,27.691023,16.973969,80.20046,65.02466,24.886189,6.0874953,قطاع اللوتس,30.02686451543201,31.51724140599961,0.29
Al Lwaa' Amin Al Sherif,36.44326,19.955238,79.361496,70.66722,31.624939,9.333277,اللواء امين الشريف,30.04775455545797,31.250086772641552,0.56
Al Maadesa,36.44326,19.955238,79.361496,70.66722,31.624939,9.333277,المعدسه,30.03627912496658,31.275551311844627,0.93
Al Maasara Al Balad,36.44326,19.955238,79.361496,70.66722,31.624939,9.333277,المعصره البلد,29.90989811944626,31.283125017932456,16.3
Al Maasara Al Mahata,36.44326,19.955238,79.361496,70.66722,31.624939,9.333277,المعصره المحطه,29.9077845397494,31.29524316845093,0.86
Al Mabaaothen City,36.44326,19.955238,79.361496,70.66722,31.624939,9.333277,مدينة المبعوثين,30.0600510254315,31.359029398700404,0.97
Al Mahgar,36.44326,19.955238,79.361496,70.66722,31.624939,9.333277,المحجر,30.033499694848462,31.25780309200586,3.25
Al Mahmoodia Housing,36.44326,19.955238,79.361496,70.66722,31.624939,9.333277,مساكن المحموديه,30.014191683063395,31.334108377230784,0.73
