name,name_en,latitude,longitude,green_coverage_pct
مصر الجديدة,Heliopolis,30.11772240000001,31.3323044,1.52
عابدين,Abdin,30.044988,31.2488627,0.55
بولاق,Boulak,30.059185500000005,31.2341778,0.56
منشية ناصر,Manshiet Naser,30.03633189999999,31.2763286,0.69
روض الفرج,Rod El-Farag,30.073229899999998,31.2363328,0.13
السبتية,Al-Sabtiyya,30.0648978,31.2298942,1.24
مصر القديمة,Masr Al-Qadima,30.007200800000003,31.229365999999995,3.51
السيدة زينب,Al-Sayyida Zeinab,30.027324100000005,31.2404117,0.45
الغورية,El-Ghuriyya,30.04528519999999,31.2601925,6.64
الظاهر,Al-Zaher,30.0639735,31.2594293,0.06
القاهرة الإسلامية,Islamic Cairo,30.0487472,31.263775400000004,4.42
الوايلى,El-Waily,30.0668177,31.2760789,0.64
حدائق حلوان,Hadayek helwan,29.896826099999995,31.3009298,0.47
وادي حوف,Wadi Hof,29.8827544,31.305307100000004,0.64
المعصرة,Al-Maasara,29.9091281,31.2912838,0.58
عين الصيرة,Ain El Sira,30.0139077,31.245078700000004,3.2
عباسية,Abbasseya,30.0712082,31.2763653,1.08
السكاكينى,El Sakakini,30.06349249999999,31.267710699999995,0.28
الدمرداش,El-Demerdash,30.0801775,31.2805525,0.85
الشرابية,El-Sharrabeya,30.079173,31.2639339,0.04
حدائق الزيتون,Hadayeq Al-Zaitoun,30.1137865,31.3334645,2.04
الزيتون,Al-Zaitoun,30.099836499999995,31.308219399999995,4.96
عين شمس,Ain Shams,30.1304761,31.3167491,0.01
الموسكى,Al-Mosky,30.0503528,31.253695,0.35
الأزبكية,Al-Azbakeya,30.053889100000003,31.2454725,0.25
الجمالية,El-Gamaliyya,30.0518089,31.2648529,0.94
باب الشعرية,Bab Al-Shaaria,30.0584951,31.255282900000005,0.11
الدرب الأحمر,El-Darb El-Ahmar,30.042173100000003,31.2620473,6.65
الخليفة,El-Khaleefa,30.011318299999992,31.264725500000004,0.02
مدينة ميراج,Mirage City,30.071656399999995,31.435368300000004,17.81
مدينة نصر,Nasr City,30.0521177,31.3422045,4.78
القاهرة القديمة,Old Cairo,30.0174001,31.2331964,2.04
المنيل,Al Manyal,30.0209947,31.2255698,3.79
باب اللوق,Bab al Luq,30.04583150000001,31.239586000000003,0.99
الأميرية,Amiriya,30.100000100000003,31.283333,0.25
Stone Park,,29.9896933,31.378953800000005,4.33
كمبوند القطاميه هايتس,,29.9921014,31.404629300000003,27.93
القطاميه,,29.97619399999999,31.4046992,4.75
كومباوند قطامية ديونز,Kattameya Dunes Compound,30.0014688,31.519845900000004,22.51
المجاورة الثالثة الحي الثاني شرق,,30.159752299999997,31.6248966,2.05
Parcel 8547,,30.003103500000005,31.318658,4.55
حي رجال الاعمال- مدينة ١٥ مايو,Businessmen Neighbourhood -15 May City,29.8332498,31.3616914,5.44
مساكن نيركو,Masaken Nerco,29.962840000000003,31.2834824,1.78
دار مصر الأندلس - المرحلة الثانية,Dar Masr Al Andalus - Phase 2,29.9701476,31.5286336,0.79
لافيستا سيتي,La Vista City,30.0037863,31.595787200000004,0.76
كمبوند الرقابه الإداريه,,29.9660191,31.5378788,0.55
الشباب الشمالي,,30.0703064,31.4591161,1.88
مجموعه 123,,30.0635502,31.5164317,3.52
الشباب الجنوبي,,30.056216400000004,31.4602642,2.84
كمبوند نقابة المهندسين,Engineers Syndicate Compound,29.9882506,31.5047412,0.65
كمبوند توب ڤيو,Top View Compound,30.047145900000004,31.505883999999995,5.73
مجموعه 111,Group 111,30.072563399999996,31.5027986,6.23
مدينة الهايكستب العسكرية,Al Huckstep Military City,30.128510871354305,31.51918604370893,0.13
عمارات حدائق العبور,Hadaek Al Obour Buildings,30.07703354629748,31.30876130752129,2.83
منطقة 6,Area 6,30.06231813916326,31.34744651668875,2.37
بلوك 2,Block 2,29.96511318736772,31.282609084592043,1.6
بلوك 1,Block 1,29.966450340845544,31.28120448047458,1.62
الشطر الخامس,El Shatr Al Khames,29.965162559469523,31.28367864749394,1.32
بلوك 18,Block 18,29.959904681675983,31.309640758082804,0.61
بلوك 10,Block 10,29.95989072749356,31.307133473229392,0.49
بلوك 12,Block 12,29.960475703977465,31.30545237299992,0.36
بلوك 8,Block 8,29.96052508718007,31.303773746018745,0.64
بلوك 7,Block 7,29.96045947386263,31.30289762477558,0.68
بلوك 13,Block 13,29.96115773216353,31.3059500500411,0.41
بلوك 14,Block 14,29.96216909433847,31.30426575800264,0.54
بلوك 21,Block 21,29.960904591537293,31.31188453695921,0.92
بلوك 19,Block 19,29.95916991373423,31.31262717527789,0.88
بلوك 20,Block 20,29.95925716659396,31.313403197784197,0.9
بلوك 3,Block 3,29.97135487412745,31.279467685136492,2.51
بلوك 5,Block 5,29.969335450632123,31.27840695379222,2.7
بلوك 4,Block 4,29.97026070971694,31.27894996225405,2.46
بورتو هليوبوليس,Porto Heliopolis,30.08263263805315,31.348746770459503,1.51
